CensusTract,State,County,Urban,Rural,LATracts_half,LATracts10,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,lapophalf,lalowihalf,lapop10,lalowi10
1001020100,AL,Autauga,1,0,1,0,0,693,0,0,0,1912,1732.225468,306.5467367,0,0
1001020200,AL,Autauga,1,0,1,0,0,743,181,0.0834101,0,2170,1410.374828,484.9050366,0,0
1001020300,AL,Autauga,1,0,1,0,0,1256,0,0,0,3373,2764.604126,773.4192838,0,0
1001020400,AL,Autauga,1,0,1,0,0,1722,0,0,0,4386,4272.112205,874.0674047,0,0
1001020500,AL,Autauga,1,0,1,0,0,4082,181,0.0168122,0,10766,7798.99399,1131.052984,0,0
1001020600,AL,Autauga,1,0,1,0,0,1311,0,0,0,3668,3540.571275,1270.334442,0,0
1001020700,AL,Autauga,1,0,1,0,0,1188,36,0.0124524,1,2891,2304.348875,876.0637272,0,0
1001020801,AL,Autauga,0,1,1,0,0,1074,0,0,0,3081,3080.999986,575.4101301,0,0
1001020802,AL,Autauga,0,1,1,0,0,3694,0,0,0,10435,10434.99998,2677.750509,251.8869139,96.32884706
1001020900,AL,Autauga,0,1,1,1,0,2067,14,0.002467,0,5675,5674.999998,1346.036822,2047.118504,571.9896242
1001021000,AL,Autauga,0,1,1,1,0,1085,10,0.0034554,1,2894,2894.000009,1072.763419,2473.784461,895.793781
1001021100,AL,Autauga,0,1,1,1,0,1306,33,0.0099398,0,3320,3320,1349.242827,2404.19159,953.1205511
1003010100,AL,Baldwin,0,1,1,1,0,1510,31,0.0081493,0,3804,3804.000021,1106.091666,1892.726307,671.1236268
1003010200,AL,Baldwin,0,1,1,0,0,1111,6,0.0020675,0,2902,2901.999992,1171.879487,38.59738666,14.7859317
1003010300,AL,Baldwin,0,1,1,0,0,2727,521,0.066573,0,7826,7823.771308,2597.310467,0,0
1003010400,AL,Baldwin,0,1,1,0,0,1740,0,0,0,4736,4735.999984,1846.985736,355.1184095,68.2617451
1003010500,AL,Baldwin,1,0,1,0,0,1798,559,0.1160955,0,4815,3503.604222,668.0812708,0,0
1003010600,AL,Baldwin,1,0,1,0,0,1186,14,0.0042105,1,3325,2697.030055,1432.135508,0,0
1003010701,AL,Baldwin,1,0,1,0,0,3054,7,0.0008881,0,7882,7137.579139,833.6158209,0,0
1003010703,AL,Baldwin,0,1,1,0,0,4878,3,0.0002279,0,13166,12698.29697,2688.129569,0,0
1003010704,AL,Baldwin,1,0,1,0,0,1967,0,0,0,5055,5055.000011,661.3152277,0,0
1003010705,AL,Baldwin,1,0,1,0,0,3689,61,0.0073221,0,8331,7465.732274,1988.424623,0,0
1003010800,AL,Baldwin,1,0,1,0,0,2770,192,0.0279843,0,6861,5864.72047,1572.593092,0,0
1003010903,AL,Baldwin,0,1,1,0,0,1799,516,0.0997487,0,5173,4483.142463,1633.625935,0,0
1003010904,AL,Baldwin,0,1,1,0,0,2564,49,0.0071732,1,6831,6650.469627,3107.481526,493.7813734,289.5104987
