name,age,fin_length
great white,1,3
great white,1,4
great white,1,5
great white,1,8
great white,1,2
great white,3,7
great white,3,8
great white,4,10
great white,5,14
great white,5,15
great white,5,17
great white,5,12
great white,6,18
great white,18,19
great white,19,20
great white,23,20
great white,24,20
great white,30,20
whale,2,15
whale,6,19
whale,7,20
whale,8,20
whale,8,17
whale,12,25
whale,15,28
whale,18,38
whale,18,35
whale,19,37
whale,19,40
whale,19,35
whale,23,39
whale,24,39
whale,24,35
whale,30,40
whale,30,42
leopard,5,6
leopard,5,8
leopard,10,9
leopard,17,9
leopard,18,8
mako,5,13
mako,6,18
mako,9,20
mako,12,25
mako,13,26
mako,20,26
mako,27,25
